Part,ID,Value,Device,PDF
C1,1,22nF,C-EU025-024X044,bom/capacitor_tags.pdf
C2,2,1µF,C-EU025-024X044,bom/capacitor_tags.pdf
C3,2,1µF,C-EU025-024X044,bom/capacitor_tags.pdf
C4,2,1µF,C-EU025-024X044,bom/capacitor_tags.pdf
C5,2,1µF,C-EU025-024X044,bom/capacitor_tags.pdf
C6,2,1µF,C-EU025-024X044,bom/capacitor_tags.pdf
C7,2,1µF,C-EU025-024X044,bom/capacitor_tags.pdf
C8,2,1µF,C-EU025-024X044,bom/capacitor_tags.pdf
C9,2,1µF,C-EU025-024X044,bom/capacitor_tags.pdf
C10,3,10µF,CPOL-EUE2-4,bom/capacitor_tags.pdf
C11,2,1µF,C-EU025-024X044,bom/capacitor_tags.pdf
C12,2,1µF,C-EU025-024X044,bom/capacitor_tags.pdf
C13,4,1nF,C-EU025-024X044,bom/capacitor_tags.pdf
C14,4,1nF,C-EU025-024X044,bom/capacitor_tags.pdf
C15,2,1µF,C-EU025-024X044,bom/capacitor_tags.pdf
C16,2,1µF,C-EU025-024X044,bom/capacitor_tags.pdf
C17,2,1µF,C-EU025-024X044,bom/capacitor_tags.pdf
C18,5,0.1µF,C-EU050-024X044,bom/capacitor_tags.pdf
C19,5,0.1µF,C-EU050-024X044,bom/capacitor_tags.pdf
C20,6,220µF,CPOL-EUE2-4,
C21,7,680µF,CPOL-EUE2.5-5,
C23,2,1µF,C-EU025-024X044,
D1,9,,SB540E-G,http://www.sirectsemi.com/pdf/SB540E~SB5100E-DO27.pdf
IC1,45,,LM2901,http://www.ti.com/lit/ds/symlink/lm2901.pdf
IC2,30,,74F00,http://www.ti.com/lit/ds/symlink/sn74f00.pdf
IC3,,,MCP2562P,
IC5,31,,LM2596TV,
JP1,39,,PINHD-2X13,
JP2,39,,PINHD-2X13,
JP3,37,,PINHD-2X7,
,37,Socket,,
JP4,36,,PINHD-2X8,
,36,Socket,,
JP5,38,,PINHD-2X13,
,38,Socket,,
JP6,35,,PINHD-1X4,
JP7,,,PINHD-1X3,
L1,14,50µH,L-EUTJ3-U1,http://www.farnell.com/datasheets/705007.pdf
R1,18,500R,R-EU_0207/10,
R2,15,75R,R-EU_0207/10,
R3,16,500R,R-EU_0207/10,
R4,17,500R,R-EU_0207/10,
R5,18,500R,R-EU_0207/10,
R6,18,500R,R-EU_0207/10,
R7,19,10k,R-EU_0207/10,
R8,29,3.3k,R-EU_0207/10,
R9,19,10k,R-EU_0207/10,
R10,29,3.3k,R-EU_0207/10,
R14,19,10k,R-EU_0207/10,
R16,19,10k,R-EU_0207/10,
R17,19,10k,R-EU_0207/10,
R18,19,10k,R-EU_0207/10,
R19,19,10k,R-EU_0207/10,
R20,,na,R-EU_0207/10,
R22,20,47k,R-EU_0207/10,
R23,20,47k,R-EU_0207/10,
R25,19,10k,R-EU_0207/10,
R26,19,10k,R-EU_0207/10,
RN1,25,4.7k,8R-N,
RN2,26,1.2k,RN08,
RN3,27,330R,E4R,
T1,11,,BC547,https://www.arduino.cc/documents/datasheets/BC547.pdf
T2,12,,ZTX1049A,http://www.diodes.com/_files/datasheets/ZTX1049A.pdf
T3,12,,ZTX1049A,http://www.diodes.com/_files/datasheets/ZTX1049A.pdf
T4,12,,ZTX1049A,http://www.diodes.com/_files/datasheets/ZTX1049A.pdf
T5,12,,ZTX1049A,http://www.diodes.com/_files/datasheets/ZTX1049A.pdf
T6,11,,BC547,https://www.arduino.cc/documents/datasheets/BC547.pdf