Parts,Value,Package,PDF
D2,,SOD-323F,1N4148WS
D3,,SOD-323F,1N4148WS 
J4,,,BM03B-PASS-1-TFT(LF)(SN)
J3,,,BM05B-PASS-1-TFT(LF)(SN)
J2,,10X03MTA,
J1,,10X05MTA,
JP1,,2X05,
R14,100k,R0603,
C2,100n,C0603,
C3,100n,C0603,
C4,100n,C0603,
C6,100n,C0603,
C9,10µF,C0805,
LED1,Red,C0805,
LED2,Red,C0805,
LED3,Red,C0805,
LED4,Red,C0805,
R8,1540k (1%),R0603,
R1,1M (1%),R0603,
R2,1M (1%),R0603,
R3,1M (1%),R0603,
R4,1M (1%),R0603,
R6,1k,R0603,
R16,1k,R0603,
C1,1µF,C0603,
C8,1µF,C0805,
D1,20V,1SMB5932BT3G,Zener Diode 3W
R19,22R,R0805,
R20,22R,R0805,
R21,22R,R0805,
R22,22R,R0805,
R11,220R,R0603,
R12,220R,R0603,
R13,220R,R0603,
R7,270k (1%),R0603,
R9,2M8 (1%),R0603,
IC3,AP2139AK-3.0TRG1,SOT23-5,Voltage Regulator 3V
IC2,AP2204K-3.3TRG1,SOT23-5,Voltage Regulator 3.3V
R10,4M12 (1%),R0603,
C5,4n7,C0603,
IC1,ATTINY84A-SSU,SO014,
T4,MMUN2111LT1G,EC SC59-BEC,PNP Transistor
T5,MMUN2111LT1G,EC SC59-BEC,PNP Transistor
T6,MMUN2111LT1G,EC SC59-BEC,PNP Transistor
T1,MMUN2233,EC SC59-BEC,NPN Transistor
T2,MMUN2233,EC SC59-BEC,NPN Transistor
T3,MMUN2233,EC SC59-BEC,NPN Transistor
T7,MMUN2233,EC SC59-BEC,NPN Transistor
T8,MMUN2233,EC SC59-BEC,NPN Transistor