Ref Name,Value,Package,PDF
T2,ZTX857,TO-92 3A,
T3,ZTX857,TO-92 3A,
T4,ZTX857,TO-92 3A,
T5,ZTX857,TO-92 3A,
CONN7,,,
CONN9,4SIL,HARWIN M20-9993646,
CONN6,4waySIL,HARWIN M20-9993646,
CONN8,4waySIL,HARWIN M20-9993646,
CONN4,6SIL,HARWIN M20-9993646,
RN1,3.9k,1/4W,
CONN1,8SIL,MOLEX 70543-0007,
CONN2,8SIL,MOLEX 70543-0007,
CONN3,8SIL,MOLEX 70543-0007,
CONN10,8SIL,HARWIN M20-9993646,
IC2,74F00,DIP-14,
U1,ACPL-C87A,8-Pin SOIC,
IC3,ACPL-337J,16-Pin SO,
IC4,ACPL-337J,16-Pin SO,
IC6,ACPL-337J,16-Pin SO,
IC7,ACPL-337J,16-Pin SO,
IC8,ACPL-337J,16-Pin SO,
IC9,ACPL-337J,16-Pin SO,
JP5,AMPSEAL35,35-Pin,
T6,BC547,TO-92,
T1,BC547,TO-92,
T7,BC547,TO-92,
C2,1uF,'0805,
C3,1uF,'0805,
C4,1uF,'0805,
C5,1uF,'0805,
C6,1uF,'0805,
C7,1uF,'0805,
C8,1uF,'0805,
C9,1uF,'0805,
C11,1uF,'0805,
C12,1uF,'0805,
C15,1uF,'0805,
C16,1uF,'0805,
C17,1uF,'0805,
C23,1uF,'0805,
C22,1uF,'0805,
C24,1uF,'0805,
C1,22nF,'0805,
C13,22nF,'0805,
C14,22nF,'0805,
C18,0.1uF,'0805,
C19,0.1uF,'0805,
C95,10nF,'0805,
C96,10nF,'0805,
C100,10nF,'0805,
C101,10nF,'0805,
C102,47nF,'0805,
C103,47nF,'0805,
C97,100nF,'0805,
C98,100nF,'0805,
C99,100nF,'0805,
C104,0.1uF,'0805,
C106,0.1uF,'0805,
C107,0.1uF,'0805,
C108,0.1uF,'0805,
C109,0.01uF,'0805,
C33,1uF,'0805,
C34,1uF,'0805,
C35,1uF,'0805,
C36,1uF,'0805,
C37,1uF,'0805,
C38,1uF,'0805,
C45,1uF,'0805,
C46,1uF,'0805,
C55,1uF,'0805,
C56,1uF,'0805,
C57,1uF,'0805,
C58,1uF,'0805,
C59,1uF,'0805,
C60,1uF,'0805,
C67,1uF,'0805,
C68,1uF,'0805,
C77,1uF,'0805,
C78,1uF,'0805,
C79,1uF,'0805,
C80,1uF,'0805,
C81,1uF,'0805,
C82,1uF,'0805,
C89,1uF,'0805,
C90,1uF,'0805,
C94,10nF,'0805,
C105,47nF,'0805,
C27,100nF,'0805,
C28,100nF,'0805,
C49,100nF,'0805,
C50,100nF,'0805,
C71,100nF,'0805,
C72,100nF,'0805,
C92,100nF,'0805,
C93,100nF,'0805,
C39,220pf,'0805,
C40,220pf,'0805,
C61,220pf,'0805,
C62,220pf,'0805,
C83,220pf,'0805,
C84,220pf,'0805,
C41,330pF,'0805,
C42,330pF,'0805,
C43,330pF,'0805,
C44,330pF,'0805,
C63,330pF,'0805,
C64,330pF,'0805,
C65,330pF,'0805,
C66,330pF,'0805,
C85,330pF,'0805,
C86,330pF,'0805,
C87,330pF,'0805,
C88,330pF,'0805,
C20,220uF (25V),8x8 mm,
C21,680uF (63V),16x16 mm,
C10,10uF (63V),5x5 mm,
C91,10uF (63V),5x5 mm,
C25,100uF (25V),6.3x6.3 mm,
C26,100uF (25V),6.3x6.3 mm,
C29,100uF (25V),6.3x6.3 mm,
C30,100uF (25V),6.3x6.3 mm,
C31,100uF (25V),6.3x6.3 mm,
C32,100uF (25V),6.3x6.3 mm,
C47,100uF (25V),6.3x6.3 mm,
C48,100uF (25V),6.3x6.3 mm,
C51,100uF (25V),6.3x6.3 mm,
C52,100uF (25V),6.3x6.3 mm,
C53,100uF (25V),6.3x6.3 mm,
C54,100uF (25V),6.3x6.3 mm,
C69,100uF (25V),6.3x6.3 mm,
C70,100uF (25V),6.3x6.3 mm,
C73,100uF (25V),6.3x6.3 mm,
C74,100uF (25V),6.3x6.3 mm,
C75,100uF (25V),6.3x6.3 mm,
C76,100uF (25V),6.3x6.3 mm,
U2,MEJ1S0505SC,,
DC1,MGJ2D051505SC,,
DC2,MGJ2D051505SC,,
DC3,MGJ2D051505SC,,
DC4,MGJ2D051505SC,,
DC5,MGJ2D051505SC,,
DC6,MGJ2D051505SC,,
D2,B360B-13-F,1A 2-pin SMA,
D3,B360B-13-F,1A 2-pin SMA,
D4,B360B-13-F,1A 2-pin SMA,
D5,B360B-13-F,1A 2-pin SMA,
D6,B360B-13-F,1A 2-pin SMA,
D7,B360B-13-F,1A 2-pin SMA,
RN3,330R,300mW,
U5,FT232RL,28-Pin SSOP,
L1,47uH,3.6A 15%,
IC1,LM339N,DIP-14,
IC5,LM2596TV,TO-220-5,
JP1,PINHD-2X13,20-Pin,
JP2,PINHD-2X13,20-Pin,
X1,PN61729-S,USB Connector,
R1,1k,1/4W 5%,
R61,1M2,1/4W 5%,
R62,1M2,1/4W 5%,
R3,1.2k,1/4W 5%,
R11,1.2k,1/4W 5%,
R15,1.2k,1/4W 5%,
R21,1.2k,1/4W 5%,
R47,1.2k,1/4W 5%,
R19,3.3k,1/4W 1%,
R48,3.3k,1/4W 1%,
R59,4.7k,1/4W 5%,
R20,6.6k,1/4W,
R7,10k,1/4W 5%,
R9,10k,1/4W 5%,
R14,10k,1/4W 5%,
R16,10k,1/4W 5%,
R17,10k,1/4W 5%,
R18,10k,1/4W 5%,
R25,10k,1/4W 5%,
R26,10k,1/4W 5%,
R12,10K,1/4W 5%,
R13,10K,1/4W 5%,
R35,10k,1/4W 5%,
R46,10k,1/4W 5%,
R60,10k,1/4W 5%,
R63,10k,1/4W 5%,
R64,10k,1/4W 5%,
R65,10k,1/4W 5%,
R66,10k,1/4W 5%,
R24,33K,1/4W 5%,
R23,47k,1/4W 5%,
R33,100k,1/4W 5%,
R34,100k,1/4W 5%,
R36,100k,1/4W 5%,
R45,100k,1/4W 5%,
R4,120R,1/4W 1%,
R8,120R,1/4W 1%,
R10,120R,1/4W 1%,
R5,500R,1/2W 1%,
R6,500R,1/2W 1%,
R27,1k,1/4W 1%,
R28,1k,1/4W 1%,
R39,1k,1/4W 1%,
R40,1k,1/4W 1%,
R51,1k,1/4W 1%,
R52,1k,1/4W 1%,
R71,1k,1/4W 1%,
R72,1k,1/4W 1%,
R73,1k,1/4W 1%,
R74,2k2,0805 1%,
R67,4k7,0805 1%,
R68,10k,0805 5%,
R69,60R4,0805 1%,
R70,60R4,0805 1%,
R29,150R,1/4W 1%,
R30,150R,1/4W 1%,
R31,150R,1/4W 1%,
R32,150R,1/4W 1%,
R41,150R,1/4W 1%,
R42,150R,1/4W 1%,
R43,150R,1/4W 1%,
R44,150R,1/4W 1%,
R53,150R,1/4W 1%,
R54,150R,1/4W 1%,
R55,150R,1/4W 1%,
R56,150R,1/4W 1%,
R2,4.7R,1W 5%,
R22,4.7R,1W 5%,
R37,4.7R,1W 5%,
R38,4.7R,1W 5%,
R49,4.7R,1W 5%,
R50,4.7R,1W 5%,
RN2,1.2k,RN-9,
D1,SB540,DO-201AD,
IC11,SN65HVD234D,SOIC,
U3,TJA1055TC,SOIC,
IC10,TLC274P,DIP-14,
Z1,CG0603MLC-05E,0603 TVS,
Z2,CG0603MLC-05E,0603 TVS,
CONN5,,,