Ref Name,Qty,Component,Value,Package,Manufacturer,MPN,Farnell Part Number,Mouser Part Number,Description
"CONN2,CONN6",2,2PinJSTCPT,,DSC,JST (JAPAN SOLDERLESS TERMINALS),SM02B-CPTK-1A-TB ,2708677,,"Wire-To-Board Connector, 2 mm, 2 Contacts, Header, CPT Series, Crimp, 1 Rows"
"CONN8,CONN10,CONN12,CONN13,CONN17,SWPROG",5,3WAY_SIL,,DIL,AMPHENOL FCI,77311-401-36LF ,1097954,,"Board-To-Board Connector, 2.54 mm, 36 Contacts, Header, BergStik 77311 Series, Through Hole, 1 Rows "
CONN7,1,4PinJSTCPT,,DSC,JST (JAPAN SOLDERLESS TERMINALS),SM04B1-CPTK-1A-TB ,2708678,,"Wire-To-Board Connector, 2 mm, 4 Contacts, Header, CPT Series, Crimp, 1 Rows"
CONN1,1,8PinJSTCPT,,DSC,JST (JAPAN SOLDERLESS TERMINALS),SM08B-CPTK-1A-TBL,,306-SM08B-CPTK-1ATBL ,Automotive Connectors SIDE ENTRY CPT HDR 2.0MM PITCH 
CONN5,1,12PinJSTCPT,,DSC,JST (JAPAN SOLDERLESS TERMINALS),SM12B-CPTK-1A-TB ,2708680,,"Wire-To-Board Connector, 2 mm, 12 Contacts, Header, CPT Series, Crimp, 2 Rows"
CONN3,1,20PinJSTCPT,,DSC,JST (JAPAN SOLDERLESS TERMINALS),SM20B-CPTK-1A-TB ,2708682,,"Wire-To-Board Connector, 2 mm, 20 Contacts, Header, CPT Series, Crimp, 2 Rows"
CONN4,1,24PinJSTCPT,,DSC,JST (JAPAN SOLDERLESS TERMINALS),SM24B-CPTK-1A-TB(L),,306-SM24B-CPTK-1ATBL ,Automotive Connectors 24 POS SIDE ENTRY CPT MALE CONN 
IC12,1,74HCT4052D,,SOIC127P600X175-16N,NXP,74HCT4052D,4836730,,"74HCT4052D, Multiplexer/Demultiplexer Dual 4:1, 5 V, 16-Pin, SOIC, 2"
IC13,1,74LVC2G17GW,,SOT65P210X110-6N,NXP,74LVC2G17GW,8168823,,"NXP 74LVC2G17GW, Dual, Buffer, Single Ended, Non-Inverting, 1.65  5.5 V, 6-Pin SC-88"
R3,1,3314G-1-105E,,3314G-1,Bourns,3314G-1-105E,1689907,,"3314G SMT top adj cermet trimmer,1M 4mm Bourns 3314G Series SMD Cermet Trimmer Resistor with Gull Wing Terminations, 1M 20% 0.25W 100ppm/C Top Adjust"
L1,1,7447709470,,WE-PD_1260/1245/1280/121054,Wurth Elektronik,7447709470,1635946,,"Surface Mount Power Inductor, WE-PD Series, 47 µH, 3.8 A, 4.5 A, Shielded, 0.06 ohm"
IC9,1,ADM3101EARQZ,,SOP64P600X175-16N,Analog Devices,ADM3101EARQZ,7097966,,"ADM3101EARQZ, Line Transceiver, EIA-232-E, RS-232, V.28, 3.3 V, 16-Pin QSOP"
"C64,41,44,24,23,43,42,106,36,16,11,10,8,4",14,C-USC0805,0.1uF,C0805,MURATA,GRM219R71C104KA01D,2611934,,"Murata 0805 GRM 100nF Ceramic Multilayer Capacitor, 16 V dc X7R Dielectric ±10% SMD"
"C45,54",2,C-USC0805,1N5,C0805,Wurth Elektronik,885012007041,2533867,,"SMD Multilayer Ceramic Capacitor, 0805 [2012 Metric], 1500 pF, 25 V, ± 5%, C0G / NP0"
"C34,33,20",3,C-USC0805,1nF,C0805,MULTICOMP,MCSH21B102K160CT ,1856432,,"SMD Multilayer Ceramic Capacitor, 0805 [2012 Metric], 1000 pF, 16 V, ± 10%, X7R, MCSH Series"
"C32,63,62,61,60,59,58,57,31,30,29,28,26,25,22,21,37,15,14,7,6",21,C-USC0805,1uF,C0805,KEMET,C0805C105K4RACTU,9227792,,"Kemet 0805 1?F Ceramic Multilayer Capacitor, 16V dc X7R Dielectric ±10% SMD"
"C51,50,49,48,47,46",6,C-USC0805,10nF,C0805,Wurth Elektronik,885012207039,2534055,,"SMD Multilayer Ceramic Capacitor, 0805 [2012 Metric], 0.01 µF, 16 V, ± 10%, X7R, "
"C1,2",1,C-USC0805,27pF,C0805,MULTICOMP,MC0805N270J500CT ,1759196,,"SMD Multilayer Ceramic Capacitor, 0805 [2012 Metric], 27 pF, 50 V, ± 5%, C0G / NP0, MC Series"
C105,1,C-USC0805,47nF,C0805,YAGEO (PHYCOMP),CC0805KRX7R9BB473 ,718683,,"SMD Multilayer Ceramic Capacitor, 0805 [2012 Metric], 0.047 µF, 50 V, ± 10%, X7R, CC Series"
"C53,55",1,C-USC0805,150PF,C0805,MULTICOMP,MC0805B151K201CT ,1855783,,"SMD Multilayer Ceramic Capacitor, 0805 [2012 Metric], 150 pF, 200 V, ± 10%, X7R"
"C52,56",1,C-USC0805,330PF,C0805,Wurth Elektronik,885012007060,2495143,," SMD Multilayer Ceramic Capacitor, 0805 [2012 Metric], 330 pF, 50 V, ± 5%, C0G / NP0 "
C3,1,Cap_el,100uF,DSC,MULTICOMP,MCMR6V3107M6.3X7 ,9452567,,"Electrolytic Capacitor, 100 µF, 6.3 V, MCMHR Series, ± 20%, Radial Leaded, 6.3 mm"
IC3,1,CD74HC30M,,SOIC127P600X175-14N,Texas Instruments,CD74HC30M,526824,,"CD74HC30M, Logic Gate 8 Input NAND, HC, 5.2mA 2 to 6V 14-Pin SOIC"
X2,1,CRYSTALTC26HM,32.768kHz,TC26H-M,RALTRON,R26-32.768- 12.5 ,1652573,,"Crystal, 32.768 kHz, Cylinder Radial, 6.2mm x 2mm Dia, 12.5 pF, 20 ppm, R26 Series"
"C12,13",1,C_0805,10pF,C0805,Wurth Elektronik,885012007010,2533859,,"SMD Multilayer Ceramic Capacitor, 0805 [2012 Metric], 10 pF, 16 V, ± 5%, C0G / NP0"
"C5,9,17,39,40",5,C_0805,10uF,C0805,MURATA,GRM21BR61E106KA73L,1735530,,"SMD Multilayer Ceramic Capacitor, 0805 [2012 Metric], 10 µF, 25 V, ± 10%, X5R, GRM Series"
C38,1,EEEFK1A221XP,220uF,FKSV(D8),Panasonic,EEEFK1A221XP,1850097,,"Ecap 220uF 10V D8 Case FK SMD Panasonic 220F 10 V dc Aluminium Electrolytic Capacitor, FK SMD Series 2000h 6.3 Dia. x 7.7mm"
C35,1,EEVEB2C680SM,680uF,EBV(K16),Panasonic,EEEFK1E681SP ,2507731,,"SMD Aluminium Electrolytic Capacitor, Radial Can - SMD, 680 µF, 25 V, 0.08 ohm, FKS Series ELECTRONIC COMPONENTS"
LD1,1,LD1117SOT223,LD1117-3.3,SOT223,STMICROELECTRONICS,LD1117S33CTR ,1467779,,"Fixed LDO Voltage Regulator, 4.75V to 15V, 1.1V Dropout, 3.3Vout, 950mAout, SOT-223-4 "
"LED1,2",1,LED0805,,CHIPLED_0805,MULTICOMP,MCL-S270GC ,1581242,,"LED, Green, SMD, 1.25mm x 1.4mm, 20 mA, 2.1 V, 570 nm"
X1,1,LFXTAL011301,8.00MHz,LFXTAL011301,IQD,LFXTAL011301,4789656,,"Crystal SMD 8.000MHz HC49S-SMD Crystal 8MHz, 30ppm, 2-Pin HC-49-4H-SMX"
IC5,1,LM2596S-5.0_NOPB,,TO170P1435X465-6N,Texas Instruments,LM2596S-5.0/NOPB,1469195,,"SIMPLE SWITCHER 4.5V to 40V, 3A Low Component Count Step-Down Regulator"
IC6,1,LM2664M6X_NOPB,,SOT95P280X145-6N,Texas Instruments,LM2664M6X/NOPB,,926-LM2664M6X/NOPB ,"TEXAS INSTRUMENTS - LM2664M6X/NOPB - SWITCHED CAPACITOR VOLT CONV, SOT-23-6"
IC2,1,LM2901DT,,SOIC127P600X175-14N,STMicroelectronics,LM2901DT,2382614,,"LM2901DT, Quad Comparator Open Collector 1.3s 12 V, 15 V, 18 V, 24 V, 28 V, 3 V, 5 V, 9 V 14-Pin SO"
IC11,1,LTC1799CS5#TRMPBF,,SOT95P280X100-5N,Linear Technology,LTC1799CS5#TRMPBF,1663863,,"LTC1799CS5#TRMPBF, Silicon Oscillator, 33MHz, 5-Pin TSOT-23"
L2,1,L_PM0603,10uH,PM0603,TDK,MLZ1608M100WT ,2215635,,"Surface Mount High Frequency Inductor, MLZ Series, 10 µH, 250 mA, 0603 [1608 Metric], Multilayer"
"D1,2",1,MBRS540T3G,,DIOM7958X256N,ON Semiconductor,MBRS540T3G,2101838,,"Diode Schottky 40V 5A SMC ON Semiconductor MBRS540T3G Schottky Diode, 5A, 40V, 2-Pin SMC"
IC10,1,MC74HCT573ADWR2G,,SOIC127P1030X265-20N,ON Semiconductor,MC74HCT573ADWR2G,2774672,,
IC7,1,MCP6292-E_SN,,SOIC127P600X175-8N,Microchip,MCP6292-E/SN,1439468,,"Dual 10MHz Op Amp,MCP6292-E/SN"
Q1,1,MMBT3904,,SOT95P240X93-3N,Fairchild Semiconductor,MMBT3904,7390303,512-MMBT3904 ,"Transistor GP BJT NPN 40V 0.2A SOT23 Fairchild MMBT3904 NPN Bipolar Transistor, 0.2 A, 40 V, 3-Pin SOT-23"
"R8,6,38,40,41,43",6,R-US_R0805,1K,R0805,MULTICOMP,MC01W080551K ,9333711,,"SMD Chip Resistor, Thick Film, 1 kohm, 150 V, 0805 [2012 Metric], 100 mW, ± 5%, MC Series"
"R24,26,28,32,33",5,R-US_R0805,1K5,R0805,Panasonic,ERJ6RBD1501V ,2380317,,"SMD Chip Resistor, Thick Film, 1.5 kohm, 150 V, 0805 [2012 Metric], 100 mW, ± 0.5%, ERJ6E Series"
"R78,83",2,R-US_R0805,2K7,R0805,WELWYN,WCR0805-2K7FI ,1100317,,"SMD Chip Resistor, Thick Film, AEC-Q200 WCR Series, 2.7 kohm, 100 V, 0805 [2012 Metric], 125 mW"
R17,1,R-US_R0805,3K3,R0805,Panasonic,ERJ6RBD3301V ,2380370,,"SMD Chip Resistor, Thick Film, 3.3 kohm, 150 V, 0805 [2012 Metric], 100 mW, ± 0.5%, ERJ6E Series"
"R84,23,25,27,31,79,34,11",8,R-US_R0805,4K7,R0805,Panasonic,ERJ6RBD4701V ,2380397,,"SMD Chip Resistor, Thick Film, 4.7 kohm, 150 V, 0805 [2012 Metric], 100 mW, ± 0.5%, ERJ6E Series"
"R77,82",2,R-US_R0805,5K1,R0805,MULTICOMP,MCWR08X5101FTL ,2447692,," SMD Chip Resistor, Thick Film, 5.1 kohm, 150 V, 0805 [2012 Metric], 125 mW, ± 1%"
"R76,81",2,R-US_R0805,6K8,R0805,WELWYN,ASC0805-6K8FT5 ,2078961,," SMD Chip Resistor, Thick Film, 6.8 kohm, 150 V, 0805 [2012 Metric], 125 mW, ± 1%,"
"R2,4,9,10,12,14,15,1,18,19,20,21,29,30,36,37",16,R-US_R0805,10k,R0805,BOURNS,CRT0805-FZ-1002ELF ,2008317,,"SMD Chip Resistor, Thin Film, 10 kohm, 100 V, 0805 [2012 Metric], 100 mW, ± 1%, CRT Series "
"R64,65",2,R-US_R0805,15k,R0805,WELWYN,ASC0805-15KFT5,2078963,," SMD Chip Resistor, Thick Film, 15 kohm, 150 V, 0805 [2012 Metric], 125 mW, ± 1%, "
R52,1,R-US_R0805,22k,R0805,WELWYN,ASC0805-22KFT5 ,2078964,,"SMD Chip Resistor, Thick Film, 22 kohm, 150 V, 0805 [2012 Metric], 125 mW, ± 1%"
R16,1,R-US_R0805,47K,R0805,Panasonic,ERJ6RBD4702V ,2380398,,"SMD Chip Resistor, Thick Film, 47 kohm, 150 V, 0805 [2012 Metric], 100 mW, ± 0.5%, ERJ6E Series"
"R55,62,63",3,R-US_R0805,147K,R0805,WELWYN,WINT0805LF031473B ,2428837,,"SMD Chip Resistor, Thin Film, 147 kohm, 100 V, 0805 [2012 Metric], 125 mW, ± 0.1%"
"R69,70",1,R-US_R0805,60R4,R0805,TE CONNECTIVITY,RN73C2A60R4BTDF ,2688288RL ,,"SMD Chip Resistor, Precision, 60.4 ohm, 100 V, 0805 [2012 Metric], 100 mW, ± 0.1%"
"R74,73,71,72",4,R-US_R0805,100K,R0805,MULTICOMP,MC01W08055100K ,9333738,,"SMD Chip Resistor, 100 kohm, 150 V, 0805 [2012 Metric], 100 mW, ± 5%, MC Series"
R42,1,R-US_R0805,100R,R0805,MULTICOMP,MC01W08055100R ,9333703,,"SMD Chip Resistor, Thick Film, 100 ohm, 100 V, 0805 [2012 Metric], 100 mW, ± 5%, MC Series"
"R66,67",2,R-US_R0805,470k,R0805,WELWYN,ASC0805-470KFT5 ,2078973,,"SMD Chip Resistor, Thick Film, 470 kohm, 150 V, 0805 [2012 Metric], 125 mW, ± 1%"
R5,1,R-US_R0805,470R,R0805,Panasonic,ERJ6RBD4700V ,2380396,,"SMD Chip Resistor, Thick Film, 470 ohm, 150 V, 0805 [2012 Metric], 100 mW, ± 0.5%, ERJ6E Series"
"R56,57,58,59,60,61",6,R-US_R0805,560R,R0805,VISHAY,CRCW0805560RFKEA ,1469945,," SMD Chip Resistor, Thick Film, 560 ohm, 150 V, 0805 [2012 Metric], 125 mW, ± 1%"
"R75,80",2,R-US_R0805,910R,R0805,Panasonic,ERJ6GEYJ911V ,2323872,,"SMD Chip Resistor, Thick Film, 910 ohm, 150 V, 0805 [2012 Metric], 125 mW, ± 5%"
IC8,1,SN65HVD234,SN65HVD234,SOIC8,TEXAS INSTRUMENTS,SN65HVD234D ,1212363,,"CAN Bus, Transceiver, CAN, 1, 1, 3 V, 3.6 V, SOIC"
IC1,1,STM32F103,STM32F103RBT6,TQFP-10X10-64,STMICROELECTRONICS,STM32F103RBT6 ,1447640,,"ARM Microcontroller, Motor Control, ARM Cortex-M3, 32bit, 72 MHz, 128 KB, 20 KB, 64 Pins"
J1,1,T821120A1S100CEU,,SHDR20W64P254X254_2X10_3302X89,AMPHENOL,T821120A1S100CEU,8323499,,"HEADER, VERTICAL, 2.54MM, 20WAY Amphenol T821 Series, 2.54mm Pitch 20 Way 2 Row Shrouded Straight PCB Header, Through Hole, Solder Termination"
"IC14,IC15",2,NCV8401ADTRKG,,,ON Semiconductor,NCV8401ADTRKG,8079877,,"Power Load Distribution Switch IC, Low Side, 1 Output, ± 14 V in, 16 A, 0.034 ohm"
